,f1-score,precision,recall,support,kappa
FEET,0.785,0.803,0.768,69.0,0.7392764435731272
LEFT_HAND,0.891,0.859,0.924,66.0,0.7392764435731272
RIGHT_HAND,0.781,0.711,0.868,68.0,0.7392764435731272
TONGUE,0.756,0.882,0.662,68.0,0.7392764435731272
avg/total,0.803,0.814,0.806,271.0,0.739
