,f1-score,precision,recall,support,kappa
FEET,0.593,0.889,0.444,54.0,0.38516421618186547
LEFT_HAND,0.54,0.574,0.509,53.0,0.38516421618186547
RIGHT_HAND,0.531,0.424,0.709,55.0,0.38516421618186547
TONGUE,0.51,0.531,0.491,53.0,0.38516421618186547
avg/total,0.544,0.604,0.538,215.0,0.385
