,f1-score,precision,recall,support,kappa
FEET,0.733,0.612,0.913,69.0,0.35989888238424694
LEFT_HAND,0.442,0.391,0.507,71.0,0.35989888238424694
RIGHT_HAND,0.212,0.643,0.127,71.0,0.35989888238424694
TONGUE,0.534,0.527,0.542,72.0,0.35989888238424694
avg/total,0.48,0.543,0.522,283.0,0.36
