,f1-score,precision,recall,support,kappa
FEET,0.731,0.655,0.826,69.0,0.6610715106921131
LEFT_HAND,0.844,0.814,0.877,65.0,0.6610715106921131
RIGHT_HAND,0.625,0.635,0.615,65.0,0.6610715106921131
TONGUE,0.789,0.977,0.662,65.0,0.6610715106921131
avg/total,0.747,0.77,0.745,264.0,0.661
