,f1-score,precision,recall,support,kappa
FEET,0.897,0.878,0.915,71.0,0.8557091262675371
LEFT_HAND,0.873,1.0,0.775,71.0,0.8557091262675371
RIGHT_HAND,0.95,0.943,0.957,69.0,0.8557091262675371
TONGUE,0.847,0.782,0.924,66.0,0.8557091262675371
avg/total,0.892,0.901,0.893,277.0,0.856
