,f1-score,precision,recall,support,kappa
FEET,0.726,0.759,0.695,59.0,0.568336488768357
LEFT_HAND,0.512,0.815,0.373,59.0,0.568336488768357
RIGHT_HAND,0.676,0.573,0.825,57.0,0.568336488768357
TONGUE,0.746,0.677,0.83,53.0,0.568336488768357
avg/total,0.665,0.706,0.681,228.0,0.568
