,f1-score,precision,recall,support,kappa
FEET,0.122,0.5,0.069,72.0,0.4949811794228356
LEFT_HAND,0.688,0.611,0.786,70.0,0.4949811794228356
RIGHT_HAND,0.747,0.634,0.908,65.0,0.4949811794228356
TONGUE,0.684,0.627,0.754,69.0,0.4949811794228356
avg/total,0.56,0.593,0.629,276.0,0.495
