,f1-score,precision,recall,support,kappa
FEET,0.815,0.821,0.809,68.0,0.8045287747247829
LEFT_HAND,0.885,0.906,0.866,67.0,0.8045287747247829
RIGHT_HAND,0.908,0.841,0.986,70.0,0.8045287747247829
TONGUE,0.797,0.85,0.75,68.0,0.8045287747247829
avg/total,0.851,0.854,0.853,273.0,0.805
