,f1-score,precision,recall,support,kappa
FEET,0.864,0.934,0.803,71.0,0.8605986984815618
LEFT_HAND,0.932,1.0,0.873,71.0,0.8605986984815618
RIGHT_HAND,0.971,0.971,0.971,69.0,0.8605986984815618
TONGUE,0.821,0.729,0.939,66.0,0.8605986984815618
avg/total,0.897,0.909,0.897,277.0,0.861
