,f1-score,precision,recall,support,kappa
FEET,0.333,0.833,0.208,72.0,0.5575304511474724
LEFT_HAND,0.738,0.696,0.786,70.0,0.5575304511474724
RIGHT_HAND,0.765,0.639,0.954,65.0,0.5575304511474724
TONGUE,0.689,0.634,0.754,69.0,0.5575304511474724
avg/total,0.631,0.7,0.676,276.0,0.558
