,f1-score,precision,recall,support,kappa
FEET,0.718,0.758,0.681,69.0,0.7071603427172583
LEFT_HAND,0.866,0.887,0.846,65.0,0.7071603427172583
RIGHT_HAND,0.726,0.654,0.815,65.0,0.7071603427172583
TONGUE,0.823,0.864,0.785,65.0,0.7071603427172583
avg/total,0.783,0.791,0.782,264.0,0.707
