,f1-score,precision,recall,support,kappa
FEET,0.815,0.869,0.768,69.0,0.7736993065388664
LEFT_HAND,0.857,0.851,0.864,66.0,0.7736993065388664
RIGHT_HAND,0.839,0.747,0.956,68.0,0.7736993065388664
TONGUE,0.806,0.893,0.735,68.0,0.7736993065388664
avg/total,0.829,0.84,0.831,271.0,0.774
