,f1-score,precision,recall,support,kappa
FEET,0.79,0.688,0.928,69.0,0.43972516137618956
LEFT_HAND,0.442,0.41,0.479,71.0,0.43972516137618956
RIGHT_HAND,0.423,0.667,0.31,71.0,0.43972516137618956
TONGUE,0.603,0.595,0.611,72.0,0.43972516137618956
avg/total,0.565,0.59,0.582,283.0,0.44
