,f1-score,precision,recall,support,kappa
FEET,0.611,0.611,0.611,54.0,0.4790885491779636
LEFT_HAND,0.563,0.58,0.547,53.0,0.4790885491779636
RIGHT_HAND,0.648,0.66,0.636,55.0,0.4790885491779636
TONGUE,0.613,0.586,0.642,53.0,0.4790885491779636
avg/total,0.609,0.609,0.609,215.0,0.479
