,f1-score,precision,recall,support,kappa
FEET,0.838,0.785,0.899,69,0.824463954
LEFT_HAND,0.905,0.87,0.944,71,0.824463954
RIGHT_HAND,0.894,0.952,0.843,70,0.824463954
TONGUE,0.836,0.889,0.789,71,0.824463954
avg/total,0.868,0.874,0.869,281,0.824
,,,,,
,,,,,
,,,,,
,,,,,
,0.868,0.869,0.824,,
,0.565,0.582,0.44,,
,0.854,0.856,0.809,,
,0.695,0.701,0.597,,
,0.592,0.659,0.534,,
,0.609,0.609,0.479,,
,0.877,0.876,0.832,,
,0.829,0.831,0.774,,
,0.783,0.782,0.707,,
,74.1,75.2,66.6,,
