,f1-score,precision,recall,support,kappa
FEET,0.732,0.774,0.695,59.0,0.5968634686346863
LEFT_HAND,0.604,0.784,0.492,59.0,0.5968634686346863
RIGHT_HAND,0.695,0.583,0.86,57.0,0.5968634686346863
TONGUE,0.748,0.741,0.755,53.0,0.5968634686346863
avg/total,0.695,0.721,0.7,228.0,0.597
