,f1-score,precision,recall,support,kappa
FEET,0.78,0.92,0.676,68.0,0.8093848467487825
LEFT_HAND,0.891,0.934,0.851,67.0,0.8093848467487825
RIGHT_HAND,0.903,0.824,1.0,70.0,0.8093848467487825
TONGUE,0.841,0.792,0.897,68.0,0.8093848467487825
avg/total,0.854,0.867,0.856,273.0,0.809
