,f1-score,precision,recall,support,kappa
FEET,0.881,0.937,0.831,71.0,0.8605890213637389
LEFT_HAND,0.932,1.0,0.873,71.0,0.8605890213637389
RIGHT_HAND,0.941,0.955,0.928,69.0,0.8605890213637389
TONGUE,0.834,0.741,0.955,66.0,0.8605890213637389
avg/total,0.897,0.908,0.897,277.0,0.861
