,f1-score,precision,recall,support,kappa
FEET,0.733,0.721,0.746,59.0,0.6027671022290546
LEFT_HAND,0.632,0.833,0.508,59.0,0.6027671022290546
RIGHT_HAND,0.682,0.611,0.772,57.0,0.6027671022290546
TONGUE,0.75,0.712,0.792,53.0,0.6027671022290546
avg/total,0.699,0.719,0.704,228.0,0.603
