,f1-score,precision,recall,support,kappa
FEET,0.734,0.797,0.681,69.0,0.707227533460803
LEFT_HAND,0.859,0.873,0.846,65.0,0.707227533460803
RIGHT_HAND,0.681,0.657,0.708,65.0,0.707227533460803
TONGUE,0.847,0.806,0.892,65.0,0.707227533460803
avg/total,0.78,0.783,0.782,264.0,0.707
