,f1-score,precision,recall,support,kappa
FEET,0.773,0.902,0.676,68.0,0.8044832772326864
LEFT_HAND,0.891,0.934,0.851,67.0,0.8044832772326864
RIGHT_HAND,0.892,0.805,1.0,70.0,0.8044832772326864
TONGUE,0.845,0.811,0.882,68.0,0.8044832772326864
avg/total,0.85,0.863,0.852,273.0,0.804
