,f1-score,precision,recall,support,kappa
FEET,0.188,0.615,0.111,72.0,0.4909609729786161
LEFT_HAND,0.708,0.767,0.657,70.0,0.4909609729786161
RIGHT_HAND,0.72,0.573,0.969,65.0,0.4909609729786161
TONGUE,0.654,0.57,0.768,69.0,0.4909609729786161
avg/total,0.568,0.631,0.626,276.0,0.491
