,f1-score,precision,recall,support,kappa
FEET,0.838,0.785,0.899,69.0,0.8434461102106969
LEFT_HAND,0.938,0.919,0.958,71.0,0.8434461102106969
RIGHT_HAND,0.925,0.969,0.886,70.0,0.8434461102106969
TONGUE,0.83,0.875,0.789,71.0,0.8434461102106969
avg/total,0.883,0.887,0.883,281.0,0.843
