,f1-score,precision,recall,support,kappa
FEET,0.774,0.657,0.942,69.0,0.416388098920654
LEFT_HAND,0.452,0.417,0.493,71.0,0.416388098920654
RIGHT_HAND,0.377,0.571,0.282,71.0,0.416388098920654
TONGUE,0.569,0.6,0.542,72.0,0.416388098920654
avg/total,0.543,0.561,0.565,283.0,0.416
