,f1-score,precision,recall,support,kappa
FEET,0.832,0.838,0.826,69.0,0.773678764002106
LEFT_HAND,0.866,0.853,0.879,66.0,0.773678764002106
RIGHT_HAND,0.846,0.778,0.926,68.0,0.773678764002106
TONGUE,0.77,0.87,0.691,68.0,0.773678764002106
avg/total,0.828,0.835,0.83,271.0,0.774
