,f1-score,precision,recall,support,kappa
FEET,0.783,0.904,0.691,68.0,0.7995810055865922
LEFT_HAND,0.873,0.932,0.821,67.0,0.7995810055865922
RIGHT_HAND,0.886,0.795,1.0,70.0,0.7995810055865922
TONGUE,0.845,0.811,0.882,68.0,0.7995810055865922
avg/total,0.847,0.86,0.848,273.0,0.8
