,f1-score,precision,recall,support,kappa
FEET,0.866,0.921,0.817,71.0,0.8605914407691506
LEFT_HAND,0.916,1.0,0.845,71.0,0.8605914407691506
RIGHT_HAND,0.964,0.957,0.971,69.0,0.8605914407691506
TONGUE,0.84,0.75,0.955,66.0,0.8605914407691506
avg/total,0.896,0.907,0.897,277.0,0.861
