,f1-score,precision,recall,support,kappa
FEET,0.169,0.636,0.097,72.0,0.509247799180685
LEFT_HAND,0.69,0.592,0.829,70.0,0.509247799180685
RIGHT_HAND,0.795,0.681,0.954,65.0,0.509247799180685
TONGUE,0.648,0.618,0.681,69.0,0.509247799180685
avg/total,0.576,0.632,0.64,276.0,0.509
