,f1-score,precision,recall,support,kappa
FEET,0.831,0.808,0.855,69.0,0.8434090985848897
LEFT_HAND,0.946,0.909,0.986,71.0,0.8434090985848897
RIGHT_HAND,0.924,0.984,0.871,70.0,0.8434090985848897
TONGUE,0.829,0.841,0.817,71.0,0.8434090985848897
avg/total,0.883,0.886,0.882,281.0,0.843
