,f1-score,precision,recall,support,kappa
FEET,0.743,0.778,0.712,59.0,0.5445138817744083
LEFT_HAND,0.471,0.769,0.339,59.0,0.5445138817744083
RIGHT_HAND,0.662,0.532,0.877,57.0,0.5445138817744083
TONGUE,0.71,0.704,0.717,53.0,0.5445138817744083
avg/total,0.646,0.696,0.661,228.0,0.545
