,f1-score,precision,recall,support,kappa
FEET,0.788,0.692,0.913,69.0,0.43477247761392757
LEFT_HAND,0.414,0.42,0.408,71.0,0.43477247761392757
RIGHT_HAND,0.388,0.704,0.268,71.0,0.43477247761392757
TONGUE,0.619,0.542,0.722,72.0,0.43477247761392757
avg/total,0.552,0.589,0.578,283.0,0.435
