,f1-score,precision,recall,support,kappa
FEET,0.628,0.844,0.5,54.0,0.44133271740385727
LEFT_HAND,0.583,0.6,0.566,53.0,0.44133271740385727
RIGHT_HAND,0.559,0.469,0.691,55.0,0.44133271740385727
TONGUE,0.571,0.577,0.566,53.0,0.44133271740385727
avg/total,0.585,0.622,0.581,215.0,0.441
