,f1-score,precision,recall,support,kappa
FEET,0.431,0.733,0.306,72.0,0.5517132977051242
LEFT_HAND,0.713,0.596,0.886,70.0,0.5517132977051242
RIGHT_HAND,0.772,0.7,0.862,65.0,0.5517132977051242
TONGUE,0.656,0.694,0.623,69.0,0.5517132977051242
avg/total,0.643,0.681,0.669,276.0,0.552
