,f1-score,precision,recall,support,kappa
FEET,0.831,0.915,0.761,71.0,0.7983009708737864
LEFT_HAND,0.882,1.0,0.789,71.0,0.7983009708737864
RIGHT_HAND,0.917,0.953,0.884,69.0,0.7983009708737864
TONGUE,0.78,0.653,0.97,66.0,0.7983009708737864
avg/total,0.852,0.88,0.851,277.0,0.798
