,f1-score,precision,recall,support,kappa
FEET,0.471,0.645,0.37,54.0,0.3547456208697659
LEFT_HAND,0.5,0.532,0.472,53.0,0.3547456208697659
RIGHT_HAND,0.516,0.452,0.6,55.0,0.3547456208697659
TONGUE,0.564,0.516,0.623,53.0,0.3547456208697659
avg/total,0.513,0.536,0.516,215.0,0.355
