,f1-score,precision,recall,support,kappa
FEET,0.849,0.843,0.855,69.0,0.8481491488786814
LEFT_HAND,0.931,0.918,0.944,71.0,0.8481491488786814
RIGHT_HAND,0.926,0.955,0.9,70.0,0.8481491488786814
TONGUE,0.839,0.833,0.845,71.0,0.8481491488786814
avg/total,0.886,0.887,0.886,281.0,0.848
