,f1-score,precision,recall,support,kappa
FEET,0.722,0.61,0.884,69.0,0.39775221121234294
LEFT_HAND,0.473,0.408,0.563,71.0,0.39775221121234294
RIGHT_HAND,0.407,0.595,0.31,71.0,0.39775221121234294
TONGUE,0.533,0.667,0.444,72.0,0.39775221121234294
avg/total,0.534,0.57,0.55,283.0,0.398
