,f1-score,precision,recall,support,kappa
FEET,0.781,0.72,0.855,69.0,0.7243483788938334
LEFT_HAND,0.828,0.855,0.803,66.0,0.7243483788938334
RIGHT_HAND,0.836,0.782,0.897,68.0,0.7243483788938334
TONGUE,0.718,0.857,0.618,68.0,0.7243483788938334
avg/total,0.791,0.804,0.793,271.0,0.724
