,f1-score,precision,recall,support,kappa
FEET,0.721,0.698,0.746,59.0,0.5440935192780968
LEFT_HAND,0.5,0.697,0.39,59.0,0.5440935192780968
RIGHT_HAND,0.647,0.557,0.772,57.0,0.5440935192780968
TONGUE,0.736,0.736,0.736,53.0,0.5440935192780968
avg/total,0.651,0.672,0.661,228.0,0.544
