,f1-score,precision,recall,support,kappa
FEET,0.806,0.773,0.841,69.0,0.7736417780360256
LEFT_HAND,0.887,0.881,0.894,66.0,0.7736417780360256
RIGHT_HAND,0.829,0.806,0.853,68.0,0.7736417780360256
TONGUE,0.8,0.877,0.735,68.0,0.7736417780360256
avg/total,0.83,0.834,0.831,271.0,0.774
