,f1-score,precision,recall,support,kappa
FEET,0.699,0.662,0.739,69.0,0.6310025273799494
LEFT_HAND,0.786,0.885,0.708,65.0,0.6310025273799494
RIGHT_HAND,0.613,0.583,0.646,65.0,0.6310025273799494
TONGUE,0.812,0.825,0.8,65.0,0.6310025273799494
avg/total,0.728,0.739,0.723,264.0,0.631
