,f1-score,precision,recall,support,kappa
FEET,0.533,0.667,0.444,54.0,0.3809030177378484
LEFT_HAND,0.518,0.419,0.679,53.0,0.3809030177378484
RIGHT_HAND,0.545,0.727,0.436,55.0,0.3809030177378484
TONGUE,0.549,0.517,0.585,53.0,0.3809030177378484
avg/total,0.536,0.582,0.536,215.0,0.381
