,f1-score,precision,recall,support,kappa
FEET,0.853,0.824,0.884,69.0,0.8529193259717016
LEFT_HAND,0.924,0.905,0.944,71.0,0.8529193259717016
RIGHT_HAND,0.928,0.941,0.914,70.0,0.8529193259717016
TONGUE,0.853,0.892,0.817,71.0,0.8529193259717016
avg/total,0.89,0.89,0.89,281.0,0.853
