,f1-score,precision,recall,support,kappa
FEET,0.81,0.925,0.721,68.0,0.8387391257652239
LEFT_HAND,0.908,0.937,0.881,67.0,0.8387391257652239
RIGHT_HAND,0.914,0.852,0.986,70.0,0.8387391257652239
TONGUE,0.875,0.829,0.926,68.0,0.8387391257652239
avg/total,0.877,0.886,0.879,273.0,0.839
