,f1-score,precision,recall,support,kappa
FEET,0.098,0.4,0.056,72.0,0.44690342592269894
LEFT_HAND,0.627,0.588,0.671,70.0,0.44690342592269894
RIGHT_HAND,0.705,0.604,0.846,65.0,0.44690342592269894
TONGUE,0.671,0.579,0.797,69.0,0.44690342592269894
avg/total,0.525,0.543,0.592,276.0,0.447
