,f1-score,precision,recall,support,kappa
FEET,0.545,0.828,0.407,59.0,0.4704170708050437
LEFT_HAND,0.539,0.8,0.407,59.0,0.4704170708050437
RIGHT_HAND,0.644,0.522,0.842,57.0,0.4704170708050437
TONGUE,0.631,0.532,0.774,53.0,0.4704170708050437
avg/total,0.59,0.671,0.607,228.0,0.47
