,f1-score,precision,recall,support,kappa
FEET,0.809,0.855,0.768,69.0,0.7589274367772272
LEFT_HAND,0.864,0.864,0.864,66.0,0.7589274367772272
RIGHT_HAND,0.823,0.722,0.956,68.0,0.7589274367772272
TONGUE,0.777,0.887,0.691,68.0,0.7589274367772272
avg/total,0.818,0.832,0.82,271.0,0.759
