,f1-score,precision,recall,support,kappa
FEET,0.553,0.65,0.481,54.0,0.42330987540378406
LEFT_HAND,0.571,0.515,0.642,53.0,0.42330987540378406
RIGHT_HAND,0.579,0.559,0.6,55.0,0.42330987540378406
TONGUE,0.563,0.58,0.547,53.0,0.42330987540378406
avg/total,0.566,0.576,0.568,215.0,0.423
