,f1-score,precision,recall,support,kappa
FEET,0.714,0.704,0.725,69.0,0.6614866416596494
LEFT_HAND,0.786,0.885,0.708,65.0,0.6614866416596494
RIGHT_HAND,0.625,0.57,0.692,65.0,0.6614866416596494
TONGUE,0.882,0.903,0.862,65.0,0.6614866416596494
avg/total,0.752,0.766,0.747,264.0,0.661
