,f1-score,precision,recall,support,kappa
FEET,0.843,0.831,0.855,69.0,0.8528895193704191
LEFT_HAND,0.932,0.896,0.972,71.0,0.8528895193704191
RIGHT_HAND,0.924,0.984,0.871,70.0,0.8528895193704191
TONGUE,0.859,0.859,0.859,71.0,0.8528895193704191
avg/total,0.89,0.892,0.889,281.0,0.853
