,f1-score,precision,recall,support,kappa
FEET,0.737,0.913,0.618,68.0,0.7800042978403352
LEFT_HAND,0.891,0.934,0.851,67.0,0.7800042978403352
RIGHT_HAND,0.864,0.761,1.0,70.0,0.7800042978403352
TONGUE,0.831,0.797,0.868,68.0,0.7800042978403352
avg/total,0.831,0.851,0.834,273.0,0.78
