,f1-score,precision,recall,support,kappa
FEET,0.748,0.833,0.678,59.0,0.6556243919922176
LEFT_HAND,0.68,0.829,0.576,59.0,0.6556243919922176
RIGHT_HAND,0.767,0.671,0.895,57.0,0.6556243919922176
TONGUE,0.759,0.698,0.83,53.0,0.6556243919922176
avg/total,0.738,0.758,0.745,228.0,0.656
