,f1-score,precision,recall,support,kappa
FEET,0.783,0.685,0.913,69.0,0.43043196220954416
LEFT_HAND,0.451,0.398,0.521,71.0,0.43043196220954416
RIGHT_HAND,0.455,0.641,0.352,71.0,0.43043196220954416
TONGUE,0.565,0.627,0.514,72.0,0.43043196220954416
avg/total,0.564,0.588,0.575,283.0,0.43
