,f1-score,precision,recall,support,kappa
FEET,0.859,0.836,0.884,69.0,0.8386584706835991
LEFT_HAND,0.907,0.861,0.958,71.0,0.8386584706835991
RIGHT_HAND,0.908,0.983,0.843,70.0,0.8386584706835991
TONGUE,0.843,0.855,0.831,71.0,0.8386584706835991
avg/total,0.879,0.884,0.879,281.0,0.839
