,f1-score,precision,recall,support,kappa
FEET,0.765,0.936,0.647,68.0,0.7946890611850234
LEFT_HAND,0.901,0.922,0.881,67.0,0.7946890611850234
RIGHT_HAND,0.87,0.769,1.0,70.0,0.7946890611850234
TONGUE,0.835,0.817,0.853,68.0,0.7946890611850234
avg/total,0.843,0.861,0.845,273.0,0.795
