,f1-score,precision,recall,support,kappa
FEET,0.683,0.589,0.812,69.0,0.6254313981133522
LEFT_HAND,0.812,0.825,0.8,65.0,0.6254313981133522
RIGHT_HAND,0.597,0.627,0.569,65.0,0.6254313981133522
TONGUE,0.804,0.957,0.692,65.0,0.6254313981133522
avg/total,0.724,0.75,0.718,264.0,0.625
