,f1-score,precision,recall,support,kappa
FEET,0.652,0.639,0.667,69.0,0.31695990145979325
LEFT_HAND,0.4,0.33,0.507,71.0,0.31695990145979325
RIGHT_HAND,0.345,0.487,0.268,71.0,0.31695990145979325
TONGUE,0.548,0.587,0.514,72.0,0.31695990145979325
avg/total,0.486,0.511,0.489,283.0,0.317
