,f1-score,precision,recall,support,kappa
FEET,0.887,0.952,0.831,71.0,0.8510235947258848
LEFT_HAND,0.899,1.0,0.817,71.0,0.8510235947258848
RIGHT_HAND,0.957,0.957,0.957,69.0,0.8510235947258848
TONGUE,0.818,0.716,0.955,66.0,0.8510235947258848
avg/total,0.89,0.906,0.89,277.0,0.851
