,f1-score,precision,recall,support,kappa
FEET,0.347,0.654,0.236,72.0,0.5332635983263598
LEFT_HAND,0.694,0.676,0.714,70.0,0.5332635983263598
RIGHT_HAND,0.762,0.642,0.938,65.0,0.5332635983263598
TONGUE,0.68,0.63,0.739,69.0,0.5332635983263598
avg/total,0.621,0.65,0.657,276.0,0.533
