,f1-score,precision,recall,support,kappa
FEET,0.886,0.899,0.873,71.0,0.8653261794377594
LEFT_HAND,0.917,0.984,0.859,71.0,0.8653261794377594
RIGHT_HAND,0.956,0.97,0.942,69.0,0.8653261794377594
TONGUE,0.841,0.772,0.924,66.0,0.8653261794377594
avg/total,0.9,0.906,0.9,277.0,0.865
