,f1-score,precision,recall,support,kappa
FEET,0.598,0.674,0.537,54.0,0.39277788985273354
LEFT_HAND,0.517,0.398,0.736,53.0,0.39277788985273354
RIGHT_HAND,0.525,0.591,0.473,55.0,0.39277788985273354
TONGUE,0.554,0.767,0.434,53.0,0.39277788985273354
avg/total,0.548,0.608,0.545,215.0,0.393
