,f1-score,precision,recall,support,kappa
FEET,0.805,0.729,0.899,69.0,0.791300238002802
LEFT_HAND,0.905,0.87,0.944,71.0,0.791300238002802
RIGHT_HAND,0.872,0.921,0.829,70.0,0.791300238002802
TONGUE,0.787,0.893,0.704,71.0,0.791300238002802
avg/total,0.842,0.853,0.844,281.0,0.791
