,f1-score,precision,recall,support,kappa
FEET,0.729,0.812,0.661,59.0,0.5558289756997847
LEFT_HAND,0.642,0.7,0.593,59.0,0.5558289756997847
RIGHT_HAND,0.636,0.56,0.737,57.0,0.5558289756997847
TONGUE,0.667,0.655,0.679,53.0,0.5558289756997847
avg/total,0.669,0.682,0.668,228.0,0.556
