,f1-score,precision,recall,support,kappa
FEET,0.746,0.825,0.681,69.0,0.7540924104388226
LEFT_HAND,0.892,0.849,0.939,66.0,0.7540924104388226
RIGHT_HAND,0.816,0.738,0.912,68.0,0.7540924104388226
TONGUE,0.8,0.877,0.735,68.0,0.7540924104388226
avg/total,0.813,0.822,0.817,271.0,0.754
